Epoch,Time,Loss,ACC
[4][44/88],12.288,0.208,0.920
[4][45/88],11.450,0.308,0.940
[4][46/88],9.786,0.207,0.940
[4][47/88],11.524,0.244,0.900
[4][48/88],10.251,0.298,0.860
[4][49/88],11.772,0.438,0.880
[4][50/88],10.078,0.096,0.980
[4][51/88],10.888,0.361,0.840
[4][52/88],11.370,0.165,0.960
[4][53/88],11.569,0.278,0.920
[4][54/88],10.618,0.063,0.980
[4][55/88],11.087,0.240,0.900
[4][56/88],12.269,0.719,0.780
[4][57/88],10.312,0.198,0.900
[4][58/88],10.646,0.366,0.900
[4][59/88],13.198,0.433,0.860
[4][60/88],11.594,0.338,0.920
[4][61/88],11.355,0.326,0.900
[4][62/88],11.576,0.338,0.900
[4][63/88],11.252,0.315,0.920
[4][64/88],10.573,0.293,0.900
[4][65/88],11.221,0.492,0.840
[4][66/88],12.355,0.245,0.920
[4][67/88],11.471,0.498,0.800
[4][68/88],11.112,0.356,0.880
[4][69/88],12.164,0.436,0.900
[4][70/88],11.496,0.313,0.880
[4][71/88],12.674,0.261,0.920
[4][72/88],11.553,0.152,0.940
[4][73/88],11.741,0.219,0.920
[4][74/88],10.854,0.348,0.920
[4][75/88],12.400,0.670,0.840
[4][76/88],10.637,0.279,0.900
[4][77/88],12.130,0.276,0.940
[4][78/88],11.548,0.246,0.920
[4][79/88],11.080,0.184,0.900
[4][80/88],12.442,0.201,0.940
[4][81/88],12.378,0.217,0.920
[4][82/88],12.149,0.321,0.880
[4][83/88],11.375,0.371,0.880
[4][84/88],11.951,0.292,0.940
[4][85/88],11.127,0.407,0.780
[4][86/88],11.281,0.382,0.840
[4][87/88],12.636,0.131,0.960
[4][88/88],1.019,0.146,1.000
[5][1/88],9.498,0.236,0.900
[5][2/88],9.768,0.366,0.920
[5][3/88],9.841,0.601,0.860
[5][4/88],10.546,0.307,0.880
[5][5/88],10.244,0.242,0.880
[5][6/88],10.918,0.309,0.900
[5][7/88],9.706,0.179,0.960
[5][8/88],9.802,0.241,0.940
[5][9/88],9.400,0.294,0.920
[5][10/88],10.158,0.202,0.900
[5][11/88],8.747,0.361,0.840
[5][12/88],10.952,0.246,0.900
[5][13/88],9.720,0.191,0.940
[5][14/88],9.884,0.186,0.960
[5][15/88],10.886,0.155,0.980
[5][16/88],9.850,0.327,0.900
[5][17/88],10.645,0.221,0.920
[5][18/88],10.743,0.489,0.880
[5][19/88],10.681,0.208,0.960
[5][20/88],10.723,0.346,0.880
[5][21/88],11.001,0.185,0.920
[5][22/88],10.662,0.421,0.860
[5][23/88],10.969,0.137,0.960
[5][24/88],10.595,0.392,0.840
[5][25/88],10.933,0.155,0.940
[5][26/88],10.593,0.320,0.880
[5][27/88],10.210,0.165,0.960
[5][28/88],10.747,0.287,0.900
[5][29/88],11.290,0.418,0.880
[5][30/88],11.068,0.242,0.880
[5][31/88],10.235,0.173,0.900
[5][32/88],10.067,0.487,0.860
[5][33/88],11.335,0.329,0.880
[5][34/88],10.993,0.163,0.960
[5][35/88],11.056,0.171,0.940
[5][36/88],11.490,0.153,0.940
[5][37/88],11.851,0.373,0.840
[5][38/88],11.262,0.560,0.760
[5][39/88],11.115,0.327,0.900
[5][40/88],11.974,0.355,0.860
[5][41/88],11.240,0.291,0.900
[5][42/88],11.512,0.140,0.980
[5][43/88],11.646,0.171,0.940
[5][44/88],11.421,0.327,0.900
[5][45/88],10.814,0.354,0.840
[5][46/88],10.763,0.407,0.900
[5][47/88],10.133,0.279,0.920
[5][48/88],11.762,0.225,0.940
[5][49/88],10.713,0.194,0.960
[5][50/88],10.559,0.407,0.900
[5][51/88],11.211,0.466,0.820
[5][52/88],11.539,0.259,0.940
[5][53/88],10.705,0.463,0.880
[5][54/88],11.826,0.295,0.880
[5][55/88],10.775,0.533,0.880
[5][56/88],10.620,0.304,0.900
[5][57/88],10.586,0.424,0.860
[5][58/88],10.731,0.386,0.860
[5][59/88],10.588,0.109,0.980
[5][60/88],11.389,0.160,0.960
[5][61/88],11.573,0.277,0.940
[5][62/88],11.682,0.273,0.900
[5][63/88],11.825,0.278,0.860
[5][64/88],9.781,0.127,0.940
[5][65/88],11.779,0.531,0.780
[5][66/88],12.407,0.180,0.960
[5][67/88],10.511,0.462,0.840
[5][68/88],11.566,0.315,0.900
[5][69/88],10.936,0.289,0.860
[5][70/88],11.813,0.305,0.920
[5][71/88],12.120,0.229,0.900
[5][72/88],11.533,0.321,0.800
[5][73/88],11.593,0.156,0.980
[5][74/88],12.313,0.276,0.900
[5][75/88],11.554,0.288,0.860
[5][76/88],10.859,0.212,0.940
[5][77/88],11.553,0.206,0.920
[5][78/88],11.819,0.271,0.940
[5][79/88],12.199,0.220,0.940
[5][80/88],11.802,0.264,0.900
[5][81/88],12.636,0.235,0.920
[5][82/88],11.118,0.292,0.880
[5][83/88],11.267,0.120,0.960
[5][84/88],11.757,0.152,0.940
[5][85/88],11.319,0.160,0.980
[5][86/88],11.164,0.161,0.900
[5][87/88],11.507,0.278,0.920
[5][88/88],0.983,0.019,1.000
[6][1/88],9.027,0.231,0.900
[6][2/88],10.441,0.189,0.960
[6][3/88],9.134,0.118,0.960
[6][4/88],9.934,0.153,0.920
[6][5/88],9.005,0.257,0.960
[6][6/88],10.480,0.172,0.960
[6][7/88],10.803,0.113,0.960
[6][8/88],10.349,0.202,0.940
[6][9/88],8.897,0.189,0.940
[6][10/88],9.247,0.387,0.860
[6][11/88],9.296,0.328,0.860
[6][12/88],10.478,0.303,0.920
[6][13/88],11.459,0.403,0.920
[6][14/88],9.908,0.334,0.840
[6][15/88],10.118,0.224,0.920
[6][16/88],9.632,0.168,0.940
[6][17/88],10.234,0.315,0.880
[6][18/88],9.556,0.225,0.940
[6][19/88],10.675,0.362,0.840
[6][20/88],10.977,0.140,0.940
[6][21/88],9.429,0.258,0.940
[6][22/88],11.636,0.299,0.840
[6][23/88],9.719,0.343,0.900
[6][24/88],10.307,0.277,0.920
[6][25/88],11.036,0.137,0.980
[6][26/88],11.802,0.421,0.820
[6][27/88],9.688,0.371,0.840
[6][28/88],11.060,0.285,0.920
[6][29/88],11.172,0.280,0.900
[6][30/88],11.076,0.203,0.940
[6][31/88],11.689,0.287,0.900
[6][32/88],10.951,0.528,0.760
[6][33/88],11.900,0.275,0.920
[6][34/88],11.290,0.278,0.900
[6][35/88],11.779,0.262,0.900
[6][36/88],11.168,0.158,0.940
[6][37/88],10.204,0.283,0.920
[6][38/88],10.878,0.281,0.900
[6][39/88],11.777,0.271,0.960
[6][40/88],12.410,0.406,0.880
[6][41/88],10.936,0.337,0.880
[6][42/88],10.925,0.540,0.800
[6][43/88],10.814,0.367,0.940
[6][44/88],10.916,0.447,0.880
[6][45/88],10.720,0.385,0.860
[6][46/88],11.067,0.429,0.840
[6][47/88],11.841,0.179,0.960
[6][48/88],11.510,0.311,0.900
[6][49/88],12.254,0.198,0.920
[6][50/88],9.896,0.387,0.880
[6][51/88],12.097,0.166,0.940
[6][52/88],10.664,0.507,0.880
[6][53/88],11.748,0.376,0.860
[6][54/88],11.538,0.369,0.940
[6][55/88],10.847,0.428,0.840
[6][56/88],10.913,0.219,0.920
[6][57/88],11.938,0.391,0.840
[6][58/88],11.120,0.350,0.900
[6][59/88],11.610,0.380,0.860
[6][60/88],11.477,0.102,0.960
[6][61/88],11.774,0.159,0.960
[6][62/88],11.775,0.288,0.880
[6][63/88],12.038,0.160,0.940
[6][64/88],10.496,0.193,0.940
[6][65/88],11.272,0.158,0.920
[6][66/88],11.847,0.382,0.840
[6][67/88],10.776,0.277,0.940
[6][68/88],11.327,0.151,0.920
[6][69/88],12.416,0.267,0.860
[6][70/88],10.960,0.191,0.940
[6][71/88],12.208,0.533,0.840
[6][72/88],11.918,0.254,0.860
[6][73/88],10.384,0.261,0.900
[6][74/88],11.053,0.325,0.880
[6][75/88],11.961,0.210,0.900
[6][76/88],12.177,0.156,0.940
[6][77/88],11.174,0.167,0.900
[6][78/88],11.318,0.188,0.920
[6][79/88],11.227,0.234,0.920
[6][80/88],11.120,0.161,0.960
[6][81/88],12.730,0.304,0.920
[6][82/88],13.143,0.176,0.960
[6][83/88],11.917,0.152,0.940
[6][84/88],12.852,0.183,0.940
[6][85/88],11.078,0.219,0.940
[6][86/88],11.374,0.218,0.900
[6][87/88],12.098,0.068,1.000
[6][88/88],0.786,0.112,1.000
[7][1/88],9.662,0.213,0.900
[7][2/88],9.190,0.157,0.940
[7][3/88],9.935,0.166,0.940
[7][4/88],9.661,0.221,0.960
[7][5/88],10.777,0.277,0.880
[7][6/88],9.868,0.195,0.920
[7][7/88],9.373,0.152,0.980
[7][8/88],10.895,0.124,0.940
[7][9/88],9.161,0.299,0.900
[7][10/88],8.926,0.257,0.920
[7][11/88],11.064,0.197,0.980
[7][12/88],9.320,0.275,0.900
[7][13/88],10.631,0.263,0.880
[7][14/88],10.228,0.219,0.920
[7][15/88],10.481,0.324,0.900
[7][16/88],10.100,0.099,0.980
[7][17/88],10.331,0.140,0.960
[7][18/88],9.857,0.178,0.980
[7][19/88],9.914,0.226,0.940
[7][20/88],10.762,0.223,0.900
[7][21/88],11.093,0.115,0.980
[7][22/88],11.522,0.459,0.780
[7][23/88],11.919,0.418,0.880
[7][24/88],10.255,0.444,0.820
